story_id,test_case_id,scenario,precondition,given,when,then,priority,notes,ac_refs,test_result
ST-001,TC-001,"View homepage with API categories",,"I am a developer visiting the ONE API Portal","I land on the homepage","I see a clear hero section with value proposition, 4 API category cards (Tracking, Schedules, Booking, Routes), and a 'View Documentation' CTA button","P0","Happy path for homepage first impression","AC-001, AC-002, AC-003, AC-009",Not Testable
ST-001,TC-002,"Navigate from homepage to API Reference",,"I am on the ONE API Portal homepage","I click the 'View Documentation' CTA button","I am navigated to the API Reference page showing documentation","P0","Validates primary CTA functionality","AC-006, AC-007",Not Testable
ST-001,TC-003,"View homepage on mobile device",,"I am a developer on a mobile phone","I visit the ONE API Portal homepage","The hero section and API categories are displayed in a stacked mobile-friendly layout without horizontal scrolling","P1","Mobile responsive test","AC-011, AC-012",Not Testable
ST-002,TC-004,"Explore API categories on homepage",,"I am on the homepage viewing API categories","I see 4 category cards","Each card shows category name, icon, brief description (1-2 sentences), and 'Learn more' link","P0","Validates category card content","AC-014, AC-015, AC-019",Not Testable
ST-002,TC-005,"Navigate to specific API category documentation",,"I am on the homepage","I click the 'Learn more' link on the Tracking category card","I am navigated to the API Reference page with Tracking category documentation visible","P0","Category navigation flow","AC-017, AC-020",Not Testable
ST-002,TC-006,"View category cards with hover state (desktop)",,"I am on the homepage using a desktop browser","I hover my mouse over an API category card","The card displays a subtle hover effect (elevation or border change)","P2","Desktop-only UX enhancement","AC-018",Not Testable
ST-003,TC-007,"Access Getting Started guide from homepage",,"I am on the homepage","I click the Getting Started link in the navigation or a CTA","I am taken to the Getting Started guide page showing sections: Overview, Obtain Credentials, Authentication, First API Call, Troubleshooting","P0","Getting Started navigation","AC-024, AC-025, AC-031",Not Testable
ST-003,TC-008,"Request API credentials via support email",,"I am reading the Getting Started guide Obtain Credentials section","I click the 'Contact Support' link","My email client opens with a pre-filled template (To: api-support@one-line.com, Subject: API Credential Request, with placeholders for Company Name and Use Case)","P0","Credential request flow","AC-027, AC-029, AC-030, AC-032, AC-038",Not Testable
ST-003,TC-009,"Copy first API call example",,"I am reading the First API Call section of Getting Started guide","I view the curl example for GET /shipments","I see a highlighted code example with Authorization header and can copy it using a copy button","P0","Code example usability","AC-033, AC-034, AC-036, AC-037",Not Testable
ST-004,TC-010,"Search for endpoint by keyword",,"I am on any page of the portal","I type 'track shipment' (≥3 characters) in the search bar","An autocomplete dropdown appears showing relevant endpoints like 'GET /shipments/{id}' with brief descriptions","P0","Happy path for search functionality","AC-040, AC-041, AC-044, AC-048, AC-049",Not Testable
ST-004,TC-011,"Navigate to endpoint from search results",,"I have searched for 'tracking' and see results","I click on the 'GET /shipments/{id}' search result","I am navigated to that endpoint's documentation page","P0","Search result selection","AC-042, AC-043, AC-045",Not Testable
ST-004,TC-012,"Search with no results found",,"I am using the search bar","I type 'xyz123invalid' (a keyword that doesn't exist)","I see a message 'No results found. Try different keywords' in the dropdown","P1","Negative search case","AC-051, AC-052",Not Testable
ST-004,TC-013,"Close search results with Escape key",,"I have opened the search dropdown","I press the Escape key","The search dropdown closes","P2","Keyboard accessibility","AC-053, AC-054",Not Testable
ST-005,TC-014,"Browse API Reference by category",,"I am on the API Reference page","I view the sidebar navigation","I see collapsible categories (Tracking, Schedules, Booking, Routes) with endpoint lists and endpoint count per category","P0","Sidebar navigation structure","AC-057, AC-058, AC-065, AC-066",Not Testable
ST-005,TC-015,"Expand category and navigate to endpoint",,"I am viewing the API Reference sidebar with categories collapsed","I click the Tracking category","The category expands showing a list of endpoints alphabetically, and I can click an endpoint to scroll to its documentation","P0","Category expansion and navigation","AC-061, AC-062, AC-067",Not Testable
ST-005,TC-016,"View API Reference on mobile",,"I am on the API Reference page using a mobile device","I access the sidebar navigation","The sidebar is hidden by default and accessible via a hamburger menu icon which I can tap to view categories and endpoints","P1","Mobile sidebar navigation","AC-068",Not Testable
