story_id,prd_id,usm_id,activity_id,step_id,module,summary,user_story,moscow_priority,status,jira_key,tags
ST-001,PRD-001,USM-001,ACT-001,STEP-001,Homepage,"Land on homepage and view value proposition","As a developer, I want to land on a clear homepage with value proposition and API categories so that I can quickly understand what ONE LINE APIs offer.",Must-have,Draft,,"homepage,discovery,value-prop,MVP"
ST-002,PRD-001,USM-001,ACT-001,STEP-002,Homepage,"Explore API categories overview","As a developer, I want to browse API categories (Tracking, Schedules, Booking, Routes) on the homepage so that I can identify which APIs are relevant for my use case.",Must-have,Draft,,"homepage,api-categories,discovery,MVP"
ST-003,PRD-001,USM-001,ACT-001,STEP-003,Getting Started,"View Getting Started guide","As a developer, I want to access a Getting Started guide so that I can learn how to obtain API credentials and make my first API call.",Must-have,Draft,,"getting-started,onboarding,credentials,MVP"
ST-004,PRD-001,USM-001,ACT-002,STEP-004,Search,"Search for endpoint by keyword","As a developer, I want to search for specific endpoints or use cases using a search bar so that I can quickly find the documentation I need without browsing.",Must-have,Draft,,"search,findability,API-reference,MVP"
ST-005,PRD-001,USM-001,ACT-002,STEP-004,API Reference,"Browse API reference by category","As a developer, I want to browse the API reference organized by category so that I can discover all available endpoints within a specific area.",Must-have,Draft,,"api-reference,browsing,navigation,MVP"
ST-006,PRD-001,USM-001,ACT-002,STEP-005,API Reference,"Read comprehensive endpoint documentation","As a developer, I want to read detailed endpoint documentation including URL, HTTP method, parameters, request/response schemas, and error codes so that I can integrate it correctly.",Must-have,Draft,,"api-reference,endpoint-docs,schemas,MVP"
ST-007,PRD-001,USM-001,ACT-002,STEP-006,Code Examples,"Copy code examples in multiple languages","As a developer, I want to select my programming language (curl, JavaScript, Python, Java) and copy code snippets so that I can quickly integrate the API into my application.",Must-have,Draft,,"code-examples,multi-language,copy-paste,MVP"
ST-008,PRD-001,USM-001,ACT-003,STEP-007,Navigation,"Use sidebar navigation for API reference","As a developer, I want to use sidebar navigation to browse endpoints organized by category so that I can easily find related endpoints within a section.",Must-have,Draft,,"navigation,sidebar,categories,MVP"
ST-009,PRD-001,USM-001,ACT-003,STEP-008,Navigation,"Use breadcrumbs and anchor links","As a developer, I want to use breadcrumbs and anchor links to navigate within documentation pages so that I can jump to specific sections and track my location.",Should-have,Draft,,"navigation,breadcrumbs,anchors,UX"
ST-010,PRD-001,USM-001,ACT-004,STEP-009,Error Documentation,"Search and find error code documentation","As a developer, I want to search for specific error codes or browse error documentation so that I can diagnose issues when my API calls fail.",Must-have,Draft,,"errors,troubleshooting,search,MVP"
ST-011,PRD-001,USM-001,ACT-004,STEP-010,Error Documentation,"Read error explanation and examples","As a developer, I want to see detailed error explanations with common causes and correct request examples so that I can fix integration issues without contacting support.",Must-have,Draft,,"errors,troubleshooting,examples,MVP"
ST-012,PRD-001,USM-001,ACT-004,STEP-011,API Reference,"Review authentication and rate limit documentation","As a developer, I want to read clear documentation about authentication requirements and rate limits so that I can implement them correctly in my application.",Must-have,Draft,,"authentication,rate-limits,docs,MVP"
ST-013,PRD-001,USM-001,ACT-005,STEP-012,Changelog,"View changelog page with API updates","As a developer, I want to visit a changelog page showing recent API updates sorted by date so that I can stay informed about new features and breaking changes.",Must-have,Draft,,"changelog,updates,versioning,MVP"
ST-014,PRD-001,USM-001,ACT-005,STEP-013,Changelog,"Read detailed changelog entry","As a developer, I want to click on a changelog entry to see detailed description, affected endpoints, and migration guide so that I can understand the impact and update my code.",Must-have,Draft,,"changelog,migration,details,MVP"
ST-015,PRD-001,USM-001,ACT-005,STEP-014,Changelog,"Navigate from changelog to updated endpoint docs","As a developer, I want to follow links from changelog entries to updated endpoint documentation so that I can see the new fields or parameters in context.",Should-have,Draft,,"changelog,navigation,docs,UX"
ST-016,PRD-001,USM-001,ACT-006,STEP-015,Feedback,"Rate documentation page helpfulness","As a developer, I want to rate documentation pages (1-5 stars) using a feedback widget so that I can provide quick feedback on documentation quality.",Must-have,Draft,,"feedback,rating,quality,MVP"
ST-017,PRD-001,USM-001,ACT-006,STEP-016,Feedback,"Submit written feedback or suggestion","As a developer, I want to optionally submit written feedback or suggestions so that I can provide detailed input to improve the documentation.",Should-have,Draft,,"feedback,suggestions,improvement,UX"
